"Symbol","Description","IPO Date","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"AAPL","Apple Inc","02/01/2001","Common stocks","Large cap","Information Technology","$2,514,581,877,780","0.58%","USA","Analyze"
"MSFT","Microsoft Corp","02/26/2001","Common stocks","Large cap","Information Technology","$2,066,846,488,973","0.93%","USA","Analyze"
"GOOG","Alphabet Inc Class C","08/19/2004","Common stocks","Large cap","Communication Services","$1,263,113,280,000","0.00%","USA","Analyze"
"GOOGL","Alphabet Inc Class A","08/19/2004","Common stocks","Large cap","Communication Services","$1,263,113,280,000","0.00%","USA","Analyze"
"AMZN","Amazon.Com Inc.","02/06/2001","Common stocks","Large cap","Consumer Discretionary","$1,011,507,010,613","0.00%","USA","Analyze"
"NVDA","Nvidia Corp","01/22/1999","Common stocks","Large cap","Information Technology","$671,617,700,000","0.06%","USA","Analyze"
"BRK.A","Berkshire Hathaway Inc. Class A","02/11/2013","Common stocks","Large cap","Financials","$654,571,252,838","0.00%","USA","Analyze"
"BRK.B","Berkshire Hathaway Inc. Class B","02/09/2001","Common stocks","Large cap","Financials","$654,571,252,838","0.00%","USA","Analyze"
"TSLA","Tesla Inc","06/28/2010","Common stocks","Large cap","Consumer Discretionary","$602,315,612,050","0.00%","USA","Analyze"
"FB","Facebook Inc Class A","05/17/2012","Common stocks","Large cap","Communication Services","$561,210,585,170","0.00%","USA","Analyze"
"META","Meta Platforms, Inc.","06/29/2021","Common stocks","Large cap","Communication Services","$549,513,200,000","0.00%","USA","Analyze"
"JNJ","Johnson & Johnson","02/22/2001","Common stocks","Large cap","Health Care","$471,501,804,279","2.96%","USA","Analyze"
"UNH","Unitedhealth Group Inc","03/12/2001","Common stocks","Large cap","Health Care","$438,353,946,746","1.40%","USA","Analyze"
"XOM","Exxon Mobil Corp","03/13/2001","Common stocks","Large cap","Energy","$420,980,557,609","3.42%","USA","Analyze"
"V","Visa Inc Class A","03/19/2008","Common stocks","Large cap","Information Technology","$420,787,379,804","0.74%","USA","Analyze"
"WMT","Walmart Stores Inc","03/13/2001","Common stocks","Large cap","Consumer Staples","$379,144,006,976","1.59%","USA","Analyze"
"JPM","JP Morgan Chase & Co","02/23/2001","Common stocks","Large cap","Financials","$373,335,206,420","3.12%","USA","Analyze"
"PG","Procter & Gamble","04/24/2001","Common stocks","Large cap","Consumer Staples","$339,221,329,564","2.52%","USA","Analyze"
"MA","Mastercard Inc Class A","05/25/2006","Common stocks","Large cap","Information Technology","$335,135,859,510","0.57%","USA","Analyze"
"LLY","Eli Lilly","02/26/2001","Common stocks","Large cap","Health Care","$316,106,512,334","1.22%","USA","Analyze"
"CVX","Chevron Corp","10/10/2001","Common stocks","Large cap","Energy","$294,619,273,279","3.69%","USA","Analyze"
"HD","Home Depot Inc","02/21/2001","Common stocks","Large cap","Consumer Discretionary","$288,156,017,708","2.72%","USA","Analyze"
"ABBV","Abbvie Inc","12/10/2012","Common stocks","Large cap","Health Care","$273,971,219,521","3.62%","USA","Analyze"
"AVGO","Broadcom Inc.","02/11/2013","Common stocks","Large cap","Information Technology","$266,510,113,739","2.69%","USA","Analyze"
"MRK","Merck & Co Inc","02/26/2001","Common stocks","Large cap","Health Care","$264,597,492,835","2.70%","USA","Analyze"
"KO","Coca-Cola","02/23/2001","Common stocks","Large cap","Consumer Staples","$259,232,228,017","2.94%","USA","Analyze"
"PEP","Pepsico Inc","03/02/2001","Common stocks","Large cap","Consumer Staples","$241,925,319,151","2.59%","USA","Analyze"
"ORCL","Oracle Corp","03/01/2001","Common stocks","Large cap","Information Technology","$236,988,619,560","1.45%","USA","Analyze"
"PFE","Pfizer Inc","03/17/1980","Common stocks","Large cap","Health Care","$226,792,087,106","3.96%","USA","Analyze"
"COST","Costco Wholesale Corp","02/12/2001","Common stocks","Large cap","Consumer Staples","$216,313,368,071","0.74%","USA","Analyze"
"BAC","Bank of America Corp","02/08/2001","Common stocks","Large cap","Financials","$215,863,543,817","3.20%","USA","Analyze"
"TMO","Thermo Fisher Scientific Inc","03/08/2001","Common stocks","Large cap","Health Care","$213,986,924,450","0.22%","USA","Analyze"
"CSCO","Cisco Systems Inc","02/12/2001","Common stocks","Large cap","Information Technology","$203,685,293,554","3.02%","USA","Analyze"
"MCD","Mcdonalds Corp","02/27/2001","Common stocks","Large cap","Consumer Discretionary","$197,226,207,929","2.13%","USA","Analyze"
"NKE","Nike Inc Class B","02/27/2001","Common stocks","Large cap","Consumer Discretionary","$188,713,200,000","1.06%","USA","Analyze"
"CRM","Salesforce.Com Inc","06/23/2004","Common stocks","Large cap","Information Technology","$187,440,000,000","0.00%","USA","Analyze"
